#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:00:01.592,ENTER,37.380,7386,,276088.68,,0,6230424149651792818,6230424149651753525,BID,,,,945,366
BHP,20130205,10:00:01.592,ENTER,37.380,2103,,78610.14,,0,6230424149651792818,6230424149651780884,ASK,,,,945,203
BHP,20130205,10:00:03.065,ENTER,37.350,211,,7880.85,,0,6230424149651777661,6230424149651792985,ASK,,,,140,150
BHP,20130205,10:00:03.132,ENTER,37.350,408,,15238.8,,0,6230424149651778932,6230424149651792995,BID,,,,210,150
BHP,20130205,10:00:06.688,ENTER,37.370,452,,16891.24,,0,6230424149651794537,6230424149651794595,BID,,,,217,112
BHP,20130205,10:00:06.819,ENTER,37.360,20,,747.2,,0,6230424149651793022,6230424149651794619,ASK,,,,297,217
BHP,20130205,10:00:08.457,ENTER,37.360,157,,5865.52,,0,6230424149651793022,6230424149651794885,ASK,,,,297,916
BHP,20130205,10:00:20.798,ENTER,37.360,1387,,51818.32,,0,6230424149651795784,6230424149651795931,BID,,,,112,361
BHP,20130205,10:00:22.491,ENTER,37.360,327,,12216.72,,0,6230424149651796250,6230424149651795937,ASK,,,,297,361
BHP,20130205,10:00:26.415,ENTER,37.360,3000,,112080,,0,6230424149651796600,6230424149651795937,BID,,,,241,361
BHP,20130205,10:00:27.453,ENTER,37.360,296,,11058.56,,0,6230424149651796693,6230424149651795937,BID,,,,297,361
BHP,20130205,10:00:32.560,ENTER,37.350,685,,25584.75,,0,6230424149651778932,6230424149651796860,ASK,,,,210,203
BHP,20130205,10:00:32.746,ENTER,37.360,1493,,55778.48,,0,6230424149651796864,6230424149651795937,ASK,,,,110,361
BHP,20130205,10:00:32.746,ENTER,37.360,153,,5716.08,,0,6230424149651796864,6230424149651795970,BID,,,,110,217
BHP,20130205,10:00:32.746,ENTER,37.360,641,,23947.76,,0,6230424149651796864,6230424149651794581,BID,,,,110,203
BHP,20130205,10:00:32.746,ENTER,37.360,724,,27048.64,,0,6230424149651796864,6230424149651795279,ASK,,,,110,203
BHP,20130205,10:00:46.077,ENTER,37.370,13,,485.81,,0,6230424149651797662,6230424149651792952,BID,,,,203,297
BHP,20130205,10:00:46.077,ENTER,37.370,14,,523.18,,0,6230424149651797662,6230424149651780906,ASK,,,,203,210
BHP,20130205,10:00:46.482,ENTER,37.360,149,,5566.64,,0,6230424149651796977,6230424149651797720,ASK,,,,150,110
BHP,20130205,10:00:46.482,ENTER,37.360,61,,2278.96,,0,6230424149651781019,6230424149651797720,BID,,,,150,110
BHP,20130205,10:00:53.637,ENTER,37.370,8,,298.96,,0,6230424149651774356,6230424149651797350,BID,,,,238,210
BHP,20130205,10:00:53.637,ENTER,37.370,541,,20217.17,,0,6230424149651774356,6230424149651798264,ASK,,,,238,203
BHP,20130205,10:00:59.749,ENTER,37.360,3,,112.08,,0,6230424149651798239,6230424149651798764,ASK,,,,210,203
BHP,20130205,10:00:59.749,ENTER,37.360,4,,149.44,,0,6230424149651780902,6230424149651798172,BID,,,,210,217
BHP,20130205,10:01:14.440,ENTER,37.350,4343,,162211.05,,0,6230424149651778932,6230424149651799720,ASK,,,,210,203
BHP,20130205,10:01:26.631,ENTER,37.360,390,,14570.4,,0,6230424149651800326,6230424149651799176,BID,,,,638,157
BHP,20130205,10:01:28.138,ENTER,37.350,525,,19608.75,,0,6230424149651778932,6230424149651800436,BID,,,,210,144
BHP,20130205,10:01:35.236,ENTER,37.350,265,,9897.75,,0,6230424149651778932,6230424149651800667,ASK,,,,210,140
BHP,20130205,10:01:38.149,ENTER,37.350,674,,25173.9,,0,6230424149651778932,6230424149651800758,ASK,,,,210,203
